epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.909,2.57335,3.21033,1.93704,0.00792,0.34545,0.01776,0.00652,2.56622,3.42856,2.01534,2e-05,2e-05,2e-05
2,241.848,2.39454,3.23963,1.82634,0.0125,0.54545,0.06098,0.02585,2.08669,3.30255,1.7609,5.8812e-05,5.8812e-05,5.8812e-05
3,313.932,1.61949,2.89186,1.48802,0.01708,0.74545,0.19777,0.08674,1.86791,3.17243,1.57376,9.604e-05,9.604e-05,9.604e-05
4,379.962,1.67463,2.83395,1.41354,0.0175,0.76364,0.21595,0.06961,2.11429,3.18614,1.68855,0.000131684,0.000131684,0.000131684
5,446.378,1.45218,2.37578,1.27904,0.01917,0.83636,0.16237,0.04999,2.19006,3.12873,1.69929,0.000165744,0.000165744,0.000165744
6,509.912,1.55745,2.22548,1.26325,0.32821,0.29091,0.18273,0.0701,2.08767,2.96799,1.69055,0.00019822,0.00019822,0.00019822
7,581.017,1.42234,1.90647,1.21033,0.57115,0.1453,0.23438,0.09812,2.01957,2.81838,1.63528,0.000229112,0.000229112,0.000229112
8,638.811,1.54785,1.63897,1.32696,0.55543,0.29541,0.31685,0.13031,1.98359,2.69397,1.63663,0.00025842,0.00025842,0.00025842
9,695.156,1.22078,1.6179,1.11648,0.44177,0.30909,0.33794,0.13225,1.92965,2.68267,1.56642,0.000286144,0.000286144,0.000286144
10,753.172,1.17773,1.60272,1.13792,0.46341,0.27273,0.34379,0.14017,1.88884,2.60612,1.54094,0.000312284,0.000312284,0.000312284
11,803.356,1.52888,1.6386,1.29341,0.61274,0.10909,0.35105,0.13852,1.90973,2.57793,1.5423,0.00033684,0.00033684,0.00033684
12,839.466,1.32309,1.56781,1.18989,0.57388,0.16364,0.36495,0.14472,1.91082,2.59361,1.55612,0.000359812,0.000359812,0.000359812
13,876.546,1.48674,1.60131,1.2787,0.68319,0.15717,0.34458,0.14538,1.98004,2.63495,1.61255,0.0003812,0.0003812,0.0003812
14,912.45,1.42634,1.4112,1.23575,0.66065,0.14545,0.374,0.16287,2.04549,2.64826,1.67971,0.000401004,0.000401004,0.000401004
15,949.713,1.33564,1.33417,1.15535,0.65353,0.13757,0.40265,0.18009,2.07071,2.60855,1.68144,0.000419224,0.000419224,0.000419224
16,986.053,1.40839,1.37391,1.22235,0.64606,0.13309,0.43356,0.19835,2.06343,2.58118,1.67579,0.00043586,0.00043586,0.00043586
17,1023.85,1.33433,1.31307,1.229,0.68182,0.16364,0.41929,0.19038,2.12955,2.60251,1.71452,0.000450912,0.000450912,0.000450912
18,1059.6,1.42644,1.53328,1.22714,0.57142,0.14545,0.41505,0.17475,2.14669,2.59411,1.73084,0.00046438,0.00046438,0.00046438
19,1095.84,1.36137,1.25081,1.12218,0.6865,0.15952,0.38949,0.16144,2.08424,2.59502,1.70788,0.000476264,0.000476264,0.000476264
20,1131.98,1.41631,1.27247,1.20887,0.70131,0.17108,0.38701,0.16405,1.98252,2.58568,1.67192,0.000486564,0.000486564,0.000486564
21,1167.86,1.18921,1.15202,1.09408,0.7981,0.16364,0.36157,0.18068,1.96957,2.53554,1.62815,0.00049528,0.00049528,0.00049528
22,1203.34,1.33137,1.23468,1.13628,0.7034,0.17281,0.41063,0.20163,1.89184,2.47599,1.59732,0.000502412,0.000502412,0.000502412
23,1239.44,1.12196,1.06951,1.04027,0.7242,0.23883,0.41855,0.20483,1.83262,2.43548,1.57419,0.00050796,0.00050796,0.00050796
24,1276.16,1.41172,1.26612,1.17428,0.67737,0.34545,0.48085,0.22086,1.84982,2.38882,1.56831,0.000511924,0.000511924,0.000511924
25,1313.34,1.39508,1.17427,1.17271,0.66557,0.43428,0.50183,0.24073,1.90216,2.28618,1.58134,0.000514304,0.000514304,0.000514304
26,1349.89,1.33115,1.13987,1.12392,0.64578,0.43636,0.53969,0.25049,1.92444,2.20297,1.59561,0.0005151,0.0005151,0.0005151
27,1385.99,1.42655,1.21316,1.18451,0.66991,0.49091,0.56919,0.2565,1.91438,2.11906,1.61188,0.000514312,0.000514312,0.000514312
28,1423.8,1.43677,1.39256,1.24326,0.66991,0.49091,0.56919,0.2565,1.91438,2.11906,1.61188,0.00051194,0.00051194,0.00051194
29,1675.48,1.33813,1.54457,1.12565,0.66161,0.46226,0.52498,0.24128,1.85687,2.12576,1.61514,0.000507984,0.000507984,0.000507984
30,1729.23,1.14093,1.28379,1.07363,0.71004,0.49091,0.48878,0.23544,1.84535,2.16635,1.60178,0.000502444,0.000502444,0.000502444
31,1796.27,1.28895,1.24298,1.14791,0.71004,0.49091,0.48878,0.23544,1.84535,2.16635,1.60178,0.00049532,0.00049532,0.00049532
32,1852.79,1.18601,1.17203,1.10476,0.67383,0.52727,0.4836,0.22127,1.79522,2.18706,1.55993,0.000486612,0.000486612,0.000486612
33,1917.15,1.19372,1.14355,1.09468,0.73792,0.512,0.53462,0.25551,1.7907,2.16805,1.52198,0.00047632,0.00047632,0.00047632
34,1974.78,1.23164,1.25659,1.11927,0.73792,0.512,0.53462,0.25551,1.7907,2.16805,1.52198,0.000464444,0.000464444,0.000464444
35,2033.66,1.19412,1.0975,1.08332,0.7274,0.54545,0.55354,0.26244,1.83101,2.1416,1.54367,0.000450984,0.000450984,0.000450984
36,2092.09,1.12996,1.01396,1.07098,0.75797,0.56364,0.51335,0.24777,1.85277,2.13034,1.57359,0.00043594,0.00043594,0.00043594
37,2147.39,1.13916,1.03786,1.08456,0.75797,0.56364,0.51335,0.24777,1.85277,2.13034,1.57359,0.000419312,0.000419312,0.000419312
38,2190.54,1.09889,1.02991,1.03812,0.68861,0.54545,0.52949,0.25978,1.88362,2.13044,1.59962,0.0004011,0.0004011,0.0004011
39,2229.26,1.12994,0.97574,1.0563,0.67278,0.58182,0.53808,0.25507,1.93356,2.11881,1.64637,0.000381304,0.000381304,0.000381304
40,2285.16,1.12626,1.04515,1.07324,0.67278,0.58182,0.53808,0.25507,1.93356,2.11881,1.64637,0.000359924,0.000359924,0.000359924
41,2334.87,1.41939,1.53501,1.27131,0.73388,0.58182,0.56523,0.26448,1.92819,2.04052,1.66821,0.00033696,0.00033696,0.00033696
42,2385.1,1.31269,1.53911,1.28172,0.71112,0.58182,0.55345,0.24997,1.9418,2.06086,1.67145,0.000312412,0.000312412,0.000312412
43,2449.23,1.14657,1.27523,1.13254,0.71112,0.58182,0.55345,0.24997,1.9418,2.06086,1.67145,0.00028628,0.00028628,0.00028628
44,2503.26,1.05747,1.08491,1.07652,0.73525,0.56364,0.55005,0.25734,1.97181,2.10706,1.66794,0.000258564,0.000258564,0.000258564
45,2543.93,1.19835,1.14598,1.07252,0.73525,0.56364,0.55005,0.25734,1.97181,2.10706,1.66794,0.000229264,0.000229264,0.000229264
46,2587.32,1.03685,1.05317,1.02359,0.747,0.53693,0.51996,0.24302,1.98269,2.13959,1.65019,0.00019838,0.00019838,0.00019838
47,2625.56,0.97108,1.03746,1.05149,0.747,0.53693,0.51996,0.24302,1.98269,2.13959,1.65019,0.000165912,0.000165912,0.000165912
48,2664.05,1.17584,1.12274,1.14478,0.71819,0.56364,0.53253,0.25839,1.97142,2.08812,1.62018,0.00013186,0.00013186,0.00013186
49,2702.59,1.12259,1.0258,1.0382,0.71819,0.56364,0.53253,0.25839,1.97142,2.08812,1.62018,9.6224e-05,9.6224e-05,9.6224e-05
50,2741.73,1.05332,1.0406,1.1117,0.74372,0.58043,0.53985,0.26802,1.96277,2.03877,1.60227,5.9004e-05,5.9004e-05,5.9004e-05
